country,Meals,Drinks,Groceries,Fruits and Vegetables,Market Items,Cigarettes,Transport,Utilities,Entertainment and Education,Clothing and Shoes,Housing,Mortgage,Total Cost of Living
China,0.052226791496558136,0.017354192656694925,0.055037369161198106,0.014329639790892718,0.02502227533519684,0.005485841852337458,66.3412845816318,0.11777612304472837,21.150088418648888,0.4378313483981852,11.775146613492005,0.008416804491513255,50239.466730769236
Colombia,0.06712419347007209,0.01572117038703706,0.037302379805177546,0.01658044913798366,0.02551936865135208,0.004331491055827994,83.04372170038049,0.23220737479981834,7.397546500172172,0.4591598364494816,8.666920270889202,0.033865264801391154,31779.783076923075
Comoros,0.0,0.0,15.335831651772844,18.881522052464693,16.849236091092536,2.2773133467858173,0.0,0.0,46.656096857884116,0.0,0.0,0.0,69.38
Congo,0.06271068719597758,0.0125404477314392,0.03768893150457013,0.026227080557577644,0.019028925515682613,0.002689451512132144,74.16536251736491,0.5534665917600444,9.026801834650888,0.27888344899993095,15.798080373709283,0.01651970949755723,71018.198
Cook Islands,0.9594070850615353,0.2420616033181478,0.6052899979601549,0.37519548514312917,0.3270551438090705,0.0,0.0,1.7531787584143605,0.0,2.0497722173114843,93.68803970898212,0.0,7353.5
Costa Rica,0.07984871820141748,0.01900201421350663,0.05120881796521279,0.02307617488809746,0.02971882816188685,0.0062803267315827,82.50242195164212,0.1688361169673816,9.728314675931921,0.4274084408879544,6.944777248083211,0.019106686325699677,62098.68
Croatia,0.10294929666837326,0.023036109655943427,0.06284918512361527,0.01686776293815362,0.01869151597215668,0.009137315120575314,84.49846728104559,0.38130302057924687,5.248937944547736,0.5003692953446879,9.129345476026831,0.008045796977098105,46557.34045454545
Cuba,0.03477822554756889,0.010384080806066221,0.022219147506178982,0.013446066014741699,0.01062903962276026,0.0032101457832888064,91.62383278605452,0.09202352062950306,7.531334875019838,0.19409035274346167,0.4612218932969666,0.002829866975114594,112490.56444444446
Curacao,0.17133554292265069,0.023339688644107834,0.052266083712868776,0.03218654205396966,0.025799617732947134,0.012329283144062042,75.87959506603428,0.3726496192592887,18.457025779760475,0.42509352917135074,4.539962140802192,0.008417106761811587,67481.62
Cyprus,0.1277791100623214,0.026092568488941863,0.05874682345517296,0.01792377839415646,0.018791353029943007,0.008733236243369424,76.9947193710941,0.33725134742572443,11.292952490018905,0.5252458862001829,10.586770255078179,0.00499378050900029,54668.00142857143
